Ссылка,1. День недели:,2. Время публикации,3. Направленность новости:,4. Тематика:,5. Упоминание государственных деятелей:,6. Упоминание личности,7. Упоминание страны,8. Использование негативно окрашенной лексики,9. Тональность и эмоциональная окраска,10. Использование методов манипуляции,11. Использование визуального/аудиовизуального контента,12. Количество символов с пробелами:
https://t.me/SolovievLive/243847,1,1,2,1,1,,"США, Израиль, Китай, Украина, Россия, Палестина",1,3,5,2,535
https://t.me/SolovievLive/243848,1,1,2,"1, 6",2,Зеленский,"Польша, Украина",1,3,16,1,308
https://t.me/SolovievLive/243849,1,1,2,"1, 6",3,"Уильям Бернс, Майк Тернер","США, Палестина, Израиль",1,3,16,2,537
https://t.me/SolovievLive/243850,1,1,2,7,2,Майкл Буллок,США,1,3,"1, 2, 5, 8, 9, 14",2,1989
https://t.me/SolovievLive/243851,1,1,1,7,1,,Россия,1,3,16,2,190
https://t.me/SolovievLive/243860,1,2,2,9,1,"Хосе Антонио Ибарра, Лейкен Райли","США, Венесуэла",1,3,"5, 8, 12, ",2,1667
https://t.me/SolovievLive/243861,1,2,1,8,1,,Россия,1,3,16,1,275
https://t.me/SolovievLive/243863,1,2,2,10,2,Никки Хейли,США,1,3,16,2,116
https://t.me/SolovievLive/243864,1,2,"1, 2",11,2,"Хавьер Милей, Александр Топорин, Андрей Пономарь","Аргентина, Россия, США, Украина",1,1,"2, 3, 6, 8, 12, 13, ",2,369
https://t.me/SolovievLive/243865,1,2,1,8,1,,Россия ,1,3,16,1,136
https://t.me/SolovievLive/243914,1,3,2,"1, 6",3,"Песков, Шольц","Россия, Украина, Германия",1,3,5,2,422
https://t.me/SolovievLive/243923,1,3,1,"5, 10",2,Виталий Киселев,,1,3,16,4,97
https://t.me/SolovievLive/243924,1,3,2,"1, 6",2,Жан-Люк Меланшон,"Россия, Франция ",1,3,5,1,298
https://t.me/SolovievLive/243927,1,3,2,"6, 10",2,Кая Каллас,"Эстония, Франция, Германия",1,3,16,2,513
https://t.me/SolovievLive/243928,1,3,2,"1, 6",2,Мария Захарова,"Россия, Германия",1,2,"4, 7, 8, 12",2,197
https://t.me/SolovievLive/243978,1,4,"1, 2","1, 6",2,Линн Трейси,"Россия, США",1,2,"2, 6, 8,  10, 12",1,1215
https://t.me/SolovievLive/243980,1,4,1,12,1,,,1,1,"10, 15",1,107
https://t.me/SolovievLive/243981,1,4,2,1,2,Марко Рубио,"США, Украина",1,3,8,1,385
https://t.me/SolovievLive/243982,1,4,2,1,1,Дмитрий Куликов,Запад,1,3,"3, 12",1,322
https://t.me/SolovievLive/243983,1,4,2,1,2,Лукашенко,Беларусь,1,3,16,4,82
https://t.me/SolovievLive/244027,1,5,"1, 2","1, 4, 5, 6, 8, 10, 12",3,"Зеленский, Путин, Медведев, Собянин, Рубио","Иран, Россия, США, Эквадор, Украина",2,2,"1, 2, 3, 6, 7, 8, 9, 10, 12, 15",2,1190
https://t.me/SolovievLive/244029,1,5,1,1,1,,,1,1,"8, 10, 13, 15",1,179
https://t.me/SolovievLive/244030,1,5,1,1,1,,,1,1,10,2,178
https://t.me/SolovievLive/244034,1,5,2,10,3,"Трамп, Байден",,1,3,16,1,167
https://t.me/SolovievLive/244035,1,5,2,6,3,"Лавров, Медведев",,2,2,"7, 8",2,470
https://t.me/SolovievLive/244242,2,1,2,1,2,Ллойд Джеймс Остин,"США, Украина",1,3,16,4,123
https://t.me/SolovievLive/244243,2,1,2,1,2,Стефан Сежурне,"Франция, Украина",1,3,2,4,206
https://t.me/SolovievLive/244244,2,1,1,5,3,"Байден, Карин",,1,2,"5, 4",1,337
https://t.me/SolovievLive/244245,2,1,2,1,1,,Украина,1,2,16,4,97
https://t.me/SolovievLive/244246,2,1,1,8,1,,Канада,1,2,16,2,244
https://t.me/SolovievLive/244247,2,2,2,1,1,,Украина,2,2,"2,10,12",1,266
https://t.me/SolovievLive/244248,2,2,2,1,1,,"Ливан, Израиль",1,2,16,1,207
https://t.me/SolovievLive/244249,2,2,1,3,1,Нилов,,1,3,16,4,144
https://t.me/SolovievLive/244317,2,2,2,6,2,Виктория Нуланд,Россия. США,2,2,"2,8,11,15",2,518
https://t.me/SolovievLive/244318,2,2,1,10,3,"Трам, Байден,Хейли",США,1,3,16,2,794
https://t.me/SolovievLive/244325,2,3,1,12,3,"Путин, Песков,Лихачев, Гросси",Россия. США,1,3,16,4,316
https://t.me/SolovievLive/244327,2,3,1,10,1,,Россия,1,1,14,4,792
https://t.me/SolovievLive/244337,2,3,1,10,2,Песков,,1,1,"8,9,13",1,132
https://t.me/SolovievLive/244342,2,3,2,6,3,"Захарова, Санду",Молдавия,1,2,11,1,367
https://t.me/SolovievLive/244358,2,3,2,7,1,,"Россия, Турция, Китай, Индия, Бразилия",1,3,16,2,837
https://t.me/SolovievLive/244390,2,4,2,6,3,"Путин, Гросси, Лихачев",Россия,1,3,16,1,269
https://t.me/SolovievLive/244391,2,4,1,12,1,,Польша,1,3,16,"1,2",410
https://t.me/SolovievLive/244400,2,4,2,1,1,,,1,1,"4,8,9,10",1,218
https://t.me/SolovievLive/244401,2,4,1,12,1,,,1,3,16,1,68
https://t.me/SolovievLive/244402,2,4,1,"1, 12",1,Владислав Маленко,Россия,1,3,10,1,373
https://t.me/SolovievLive/244456,2,5,1,12,2,Путин,,1,3,10,"1, 2",87
https://t.me/SolovievLive/244458,2,5,"1, 2","1, 5, 6, 7, 10",3,"Путин, Шойгу, Хейли, Нуланд, Байден, Песков, Захарова, Пугачева","Россия, Польша, США",2,2,"3, 7, 2008",2,787
https://t.me/SolovievLive/244461,2,5,1,"5, 12",2,Путин,,1,3,16,1,121
https://t.me/SolovievLive/244463,2,5,1,"6, 12",2,"Путин, Карлосон",США,1,3,16,1,93
https://t.me/SolovievLive/244464,2,5,1,12,2,Путин,,1,3,14,1,81
https://t.me/SolovievLive/244877,3,1,1,10,2,Джо Байден,США,1,3,"8,9",1,147
https://t.me/SolovievLive/244879,3,1,2,1,1,-,-,1,3,"8,9",1,318
https://t.me/SolovievLive/244883,3,1,2,6,2,Эрдоган,-,2,2,"2,8,11",1,159
https://t.me/SolovievLive/244885,3,1,2,1,2,"Зеленский,Эрдоган","Украина, Турция ",2,2,16,4,122
https://t.me/SolovievLive/244890,3,1,1,10,3,"Байден, Никки Хейли","Украина, Израиль",1,2,"9,11,14",1,1495
https://t.me/SolovievLive/244902,3,2,2,11,3,"Ким Чен Ын, Байден,Макрон",-,1,2,"2,4,7,8,9",2,351
https://t.me/SolovievLive/244905,3,2,2,1,1,-,-,1,3,16,1,319
https://t.me/SolovievLive/244910,3,2,2,6,1,-,"Малайзия, Австралия, Тайвань, Китай",2,3,16,1,696
https://t.me/SolovievLive/244921,3,2,1,12,1,-,-,1,1,16,1,176
https://t.me/SolovievLive/244923,3,2,2,1,2,Вечеслав Гладков,Украина,1,3,16,4,201
https://t.me/SolovievLive/244933,3,3,1,10,2,Путин,Россия,1,1,"5,14",4,73
https://t.me/SolovievLive/244936,3,3,2,1,2,Сальдо,-,1,3,16,4,216
https://t.me/SolovievLive/244942,3,3,2,6,2,Алексей Данилов,"Германия, Украина",2,2,8,2,251
https://t.me/SolovievLive/244947,3,3,1,12,3,"Юрий Гагарин, Николай Чуб, Олег Кононенко",Россия,1,1,"5,10,13",1,856
https://t.me/SolovievLive/244952,3,3,1,10,2,"Байден,Илон Маск",США,1,3,16,2,565
https://t.me/SolovievLive/244964,3,4,2,1,3,"Александр Вуйчич, Путин","Россия, Украина, Сербия",2,2,"2,3,8,11",2,492
https://t.me/SolovievLive/244968,3,4,1,10,2,Дональд Туск,"Польша, Украина",2,3,"2,11",1,239
https://t.me/SolovievLive/244973,3,4,1,7,2,Байден,США,1,3,16,4,201
https://t.me/SolovievLive/244974,3,4,2,6,1,Франциск (папа римский) ,"Ураина, Турция",1,3,"4,6,7,8.13",1,939
https://t.me/SolovievLive/244966,3,4,2,1,1,-,Россия,1,3,16,4,76
https://t.me/SolovievLive/244980,3,5,2,1,1,-,"Украина, Россия",2,2,16,4,293
https://t.me/SolovievLive/244982,3,5,1,10,1,-,Израиль,1,3,16,1,89
https://t.me/SolovievLive/244987,3,5,2,1,1,-,"США, Украина,",1,3,16,2,132
https://t.me/SolovievLive/244989,3,5,1,5,1,-,"Латвия, Россия",1,3,16,4,187
https://t.me/SolovievLive/244990,3,5,1,6,1,-,Италия,1,3,16,,994
